                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.483,                 4.3112,                 4.2007,                0.00101,                0.23276,                0.00463,                0.00121,                 3.2731,                 4.5823,                 4.0447,               0.070226,              0.0033083,              0.0033083
                      1,                 3.4196,                 4.1589,                 4.0383,                0.00876,                0.00862,                0.00418,                0.00115,                 3.0605,                 6.0042,                 4.1667,               0.039897,              0.0063128,              0.0063128
                      2,                  3.141,                 3.9618,                 3.7961,                0.51607,                0.04023,                 0.0067,                0.00164,                 2.9523,                 12.703,                 5.1049,               0.009238,              0.0089874,              0.0089874
                      3,                   2.91,                 3.7113,                 3.4825,                0.09241,                0.20948,                0.05398,                0.01505,                  2.601,                 4.6917,                 3.3074,               0.008515,               0.008515,               0.008515
                      4,                 2.7222,                  3.486,                 3.1964,                0.14407,                0.13973,                0.06806,                0.02361,                 2.4801,                 3.8769,                 3.0186,               0.008515,               0.008515,               0.008515
                      5,                 2.6317,                 3.2874,                 3.0082,                0.22021,                0.24611,                0.13232,                0.04743,                 2.4747,                 3.3085,                 2.8975,                0.00802,                0.00802,                0.00802
                      6,                 2.4553,                 3.0748,                 2.8227,                0.20983,                0.17859,                0.10415,                0.04366,                 2.4986,                 3.3551,                  2.908,               0.007525,               0.007525,               0.007525
                      7,                 2.3857,                  2.942,                 2.7587,                0.30971,                 0.2717,                0.19946,                0.07685,                 2.4219,                 3.2211,                 2.8194,                0.00703,                0.00703,                0.00703
                      8,                 2.2578,                 2.8041,                 2.6239,                0.35303,                0.39504,                0.29186,                0.12332,                  2.142,                 2.7089,                 2.5909,               0.006535,               0.006535,               0.006535
                      9,                 2.1353,                 2.5889,                 2.5167,                0.45761,                0.35553,                 0.3448,                0.15964,                 1.9592,                 2.4816,                 2.4337,                0.00604,                0.00604,                0.00604
                     10,                 2.0428,                 2.4326,                 2.3968,                0.40583,                0.47069,                 0.3888,                0.18233,                 1.9751,                 2.4176,                 2.4505,               0.005545,               0.005545,               0.005545
                     11,                 1.9758,                 2.3409,                   2.35,                0.43652,                 0.4553,                0.40616,                0.20004,                 1.8446,                 2.3881,                 2.3121,                0.00505,                0.00505,                0.00505
                     12,                 1.8991,                 2.1863,                 2.2544,                0.47643,                0.49164,                0.47183,                0.23062,                 1.8194,                 2.1563,                 2.2884,               0.004555,               0.004555,               0.004555
                     13,                 1.7724,                 2.0575,                 2.1982,                0.59337,                 0.5611,                0.53732,                0.27996,                 1.7274,                  1.952,                 2.2181,                0.00406,                0.00406,                0.00406
                     14,                 1.7361,                 1.9452,                 2.1323,                0.54151,                0.55466,                0.52527,                0.25114,                  1.753,                 1.8971,                 2.2171,               0.003565,               0.003565,               0.003565
                     15,                 1.6783,                 1.8492,                 2.0748,                0.58734,                0.56674,                0.58276,                0.30511,                  1.605,                 1.8186,                 2.1405,                0.00307,                0.00307,                0.00307
                     16,                 1.6155,                 1.7775,                  2.013,                0.67354,                0.57559,                0.62135,                0.34509,                 1.5962,                 1.6748,                 2.0696,               0.002575,               0.002575,               0.002575
                     17,                 1.6004,                 1.7577,                 1.9941,                0.64721,                0.63005,                0.66178,                0.36831,                 1.5616,                 1.6052,                 2.0488,                0.00208,                0.00208,                0.00208
                     18,                 1.5277,                   1.63,                 1.9184,                0.62501,                0.63197,                0.64343,                0.36505,                 1.5407,                 1.5563,                 2.0332,               0.001585,               0.001585,               0.001585
                     19,                 1.5149,                 1.5769,                  1.917,                0.65682,                0.62909,                0.66608,                0.37785,                   1.52,                 1.5506,                 2.0129,                0.00109,                0.00109,                0.00109
